City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,floresville,29.1336,-98.1561,31.32,56,49,3.0,US,1685840286
215,taoudenni,22.6783,-3.9836,29.77,18,0,4.71,ML,1685840286
216,chernyshevskiy,63.0128,112.4714,9.02,70,100,4.67,RU,1685840287
217,firuzabad,28.8438,52.5707,24.0,19,78,1.58,IR,1685840287
218,kwang binh,17.4833,106.6,31.06,65,97,1.53,VN,1685840287
219,katima mulilo,-17.5,24.2667,16.15,46,0,2.82,,1685840287
220,kostomuksha,64.571,30.5767,0.57,81,16,1.18,RU,1685840016
221,camborne,50.2131,-5.2973,14.01,76,75,2.06,GB,1685840287
222,catabola,-12.15,17.2833,13.86,56,40,0.7,AO,1685840288
223,kuanda,56.3161,116.0806,18.56,41,8,1.7,RU,1685840288
224,coquimbo,-29.9533,-71.3436,13.85,100,0,1.54,CL,1685840247
225,kuytun,54.3419,101.5036,16.08,83,85,4.67,RU,1685840288
226,misratah,32.3754,15.0925,21.16,76,100,6.66,LY,1685840288
227,richards bay,-28.783,32.0377,21.03,68,0,7.64,ZA,1685840288
228,ciudad general teran,25.2667,-99.6833,26.8,72,27,3.71,MX,1685840288
229,tolanaro,-25.0319,46.9987,22.04,83,0,5.14,MG,1685840288
230,cuamba,-14.8031,36.5372,16.79,75,0,1.63,MZ,1685840288
231,peace river,56.2501,-117.286,27.17,29,0,5.66,CA,1685840289
232,ambovombe,-25.1667,46.0833,19.56,70,10,3.19,MG,1685840289
233,turinsk,58.0458,63.696,19.65,77,95,2.57,RU,1685840289
234,praia da vitoria,38.7333,-27.0667,19.14,88,75,2.21,PT,1685840289
235,bac kan,22.1333,105.8333,25.93,89,100,0.36,VN,1685840289
236,seagoville,32.6396,-96.5383,24.01,70,100,7.72,US,1685840289
237,nemuro,43.3236,145.575,9.17,81,67,4.11,JP,1685840289
238,vasyshcheve,49.8285,36.3269,5.91,87,0,2.93,UA,1685840290
239,haiku-pauwela,20.9219,-156.3051,28.01,54,40,10.29,US,1685840290
240,gangneung,37.7556,128.8961,25.31,32,18,4.3,KR,1685840290
241,ternate,0.8,127.4,29.07,72,67,1.78,ID,1685840290
242,lebu,-37.6167,-73.65,10.75,75,98,1.36,CL,1685840290
243,luwingu,-10.2621,29.9271,13.63,70,18,1.72,ZM,1685840290
244,polyarnyy,69.1989,33.4478,5.76,63,53,2.19,RU,1685840290
245,tchintabaraden,15.8969,5.7985,31.03,44,100,4.9,NE,1685840291
246,ladario,-19.0047,-57.6017,21.74,71,0,1.42,BR,1685840291
247,remire-montjoly,4.9167,-52.2667,25.02,94,75,1.54,GF,1685840291
248,kapuskasing,49.4169,-82.4331,25.0,27,100,2.57,CA,1685840024
249,kimbe,-5.5502,150.1429,31.39,62,73,1.13,PG,1685840292
250,mascote,-15.5631,-39.3025,18.82,99,22,1.21,BR,1685840292
251,porto velho,-8.7619,-63.9039,25.03,94,0,0.0,BR,1685840292
252,stornoway,58.2093,-6.3865,9.49,82,100,2.06,GB,1685840293
253,suva,-18.1416,178.4415,26.71,69,75,5.14,FJ,1685840293
254,horta,38.5333,-28.6333,17.23,90,30,1.79,PT,1685840293
255,tempio pausania,40.8974,9.1035,15.51,91,100,0.68,IT,1685840293
256,cooma,-36.2333,149.1333,9.45,81,100,2.15,AU,1685840293
257,nadi,-17.8,177.4167,28.0,65,75,3.09,FJ,1685840293
258,ussuriysk,43.7986,131.9508,15.9,68,93,2.02,RU,1685840293
259,gebeit,21.0667,36.3167,29.57,35,5,2.13,SD,1685840294
260,east london,-33.0153,27.9116,16.4,65,90,6.47,ZA,1685840294
261,poxoreo,-15.8372,-54.3892,21.48,59,0,1.33,BR,1685840294
262,artashat,39.9614,44.5445,17.12,60,84,1.47,AM,1685840294
263,badger,64.8,-147.5333,18.33,39,40,5.66,US,1685840294
264,camana,-16.6228,-72.7111,18.01,84,54,3.2,PE,1685840294
265,larroque,-33.036,-59.0013,19.19,90,63,3.29,AR,1685840294
266,mugia,43.1041,-9.2179,16.76,90,89,1.67,ES,1685840294
267,uturoa,-16.7333,-151.4333,26.13,65,43,4.42,PF,1685840295
268,bihac,44.8169,15.8708,13.32,97,41,0.41,BA,1685840295
269,mersa matruh,31.3525,27.2453,18.11,88,0,1.54,EG,1685840056
270,thunder bay,48.4001,-89.3168,24.99,50,75,4.63,CA,1685840285
271,tura,25.5198,90.2201,27.48,58,0,2.75,IN,1685840295
272,sabang,5.8933,95.3214,28.44,73,96,7.07,ID,1685840295
273,burgersdorp,-30.9977,26.3286,6.45,67,80,3.6,ZA,1685840295
274,hotan,37.0997,79.9269,18.53,43,100,0.46,CN,1685840295
275,igarka,67.4667,86.5833,12.62,51,79,3.78,RU,1685840296
276,gordonvale,-17.0936,145.7842,27.72,88,78,3.25,AU,1685840296
277,grand falls-windsor,48.9332,-55.6649,1.39,93,100,1.79,CA,1685840296
278,fisterra,42.9049,-9.2629,16.68,89,77,1.33,ES,1685840296
279,nikolayevsk-on-amure,53.1406,140.73,4.63,91,100,1.04,RU,1685840296
280,thisted,56.9552,8.6949,9.52,93,3,5.05,DK,1685840296
281,san luis de la loma,17.2706,-100.8939,28.28,67,0,4.64,MX,1685840296
282,susuman,62.7833,148.1667,17.93,34,69,5.33,RU,1685840296
283,el calafate,-50.3408,-72.2768,2.51,76,100,2.57,AR,1685840297
284,sandakan,5.8402,118.1179,26.82,89,20,1.54,MY,1685840297
285,cadale,2.7603,46.3222,27.43,78,100,7.5,SO,1685840297
286,fecamp,49.7579,0.3746,12.84,90,5,6.12,FR,1685840297
287,codrington,-38.2667,141.9667,14.33,75,85,6.01,AU,1685840297
288,iwon-up,40.3231,128.6553,23.78,39,3,3.72,KP,1685840297
289,tarnogskiy gorodok,60.4997,43.5761,5.97,90,100,2.05,RU,1685840298
290,hasilpur,29.7122,72.5553,30.3,43,14,0.73,PK,1685840298
291,santa ana de yacuma,-13.75,-65.4333,25.5,73,85,1.67,BO,1685840298
292,quellon,-43.1167,-73.6167,7.0,76,31,2.58,CL,1685840298
293,kayangel,8.0823,134.7173,28.49,77,100,5.05,PW,1685840298
294,portland,45.5234,-122.6762,27.56,36,20,3.6,US,1685840220
295,saint-francois,46.4154,3.9054,14.69,94,0,1.54,FR,1685840298
296,caucete,-31.6518,-68.2811,16.11,61,63,1.79,AR,1685840299
297,sullivan,36.5168,-82.5332,24.66,66,75,2.57,US,1685840299
298,wynyard,-41.0,145.7167,13.32,56,66,4.99,AU,1685840031
299,noosa heads,-26.3833,153.15,20.62,82,79,5.66,AU,1685840299
300,sisimiut,66.9395,-53.6735,-0.01,92,100,3.71,GL,1685840299
301,fortuna,40.5982,-124.1573,16.19,77,100,6.17,US,1685840299
302,laguna,38.421,-121.4238,34.62,29,0,4.63,US,1685840299
303,crystal city,28.6775,-99.8281,29.06,54,75,5.67,US,1685840299
304,lautoka,-17.6167,177.4667,27.92,65,75,3.09,FJ,1685840299
305,luba,3.4568,8.5547,23.94,84,100,1.86,GQ,1685840300
306,kyren,51.6828,102.1408,16.77,61,95,2.04,RU,1685840300
307,anlu,31.1661,112.5831,21.42,66,92,5.13,CN,1685840300
308,karachayevsk,43.774,41.9142,13.23,88,100,2.87,RU,1685840300
309,farasan,16.7022,42.1183,30.63,77,20,2.85,SA,1685840300
310,mykolaiv,49.5237,23.9852,6.09,81,6,2.62,UA,1685840300
311,kudahuvadhoo,2.6708,72.8944,25.82,84,100,3.41,MV,1685840300
